reps,,url
Mitosis_Gel-filtered_over_unfiltered_rep01,Exp268/C,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp268_C
Mitosis_Gel-filtered_over_unfiltered_rep02,Exp269/C,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp269_C
Mitosis_Gel-filtered_over_unfiltered_rep03,Exp269/A,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp269_A
Mitosis_Gel-filtered_over_unfiltered_rep04,Exp269/B,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp269_B
Mitosis_Gel-filtered_over_unfiltered_rep05,Exp278/C,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp278_C
Mitosis_Gel-filtered_over_unfiltered_rep06,Exp276/D,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp276_D
Asynch_Gel-filtered_over_unfiltered_rep01,Exp276/A,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp276_A
Asynch_Gel-filtered_over_unfiltered_rep02,Exp288/A,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp288_A
Asynch_Gel-filtered_over_unfiltered_rep03,Exp288/B,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp288_B
Asynch_Gel-filtered_over_unfiltered_rep04,Exp276/B,https://bfclabcomp4.scripps.edu/~ekemper/data/desalt/Exp276_B